Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: CIN=4p,,,,,,
1,Lab08_ITI:Testbench:1,"gainBwProd(VF(""/VOUT""))",7.274e6,,,
1,Lab08_ITI:Testbench:1,"VF(""/VOUT"")",,,,
1,Lab08_ITI:Testbench:1,"dB20(VF(""/VOUT""))",,,,
1,Lab08_ITI:Testbench:1,"ymax(dB20(VF(""/VOUT"")))",5.702,,,
1,Lab08_ITI:Testbench:1,"ymax(mag(VF(""/VOUT"")))",1.928,,,
1,Lab08_ITI:Testbench:1,"bandwidth(VF(""/VOUT"") 3 ""low"")",3.764e6,,,
Parameters: CIN=12p,,,,,,
2,Lab08_ITI:Testbench:1,"gainBwProd(VF(""/VOUT""))",6.365e6,,,
2,Lab08_ITI:Testbench:1,"VF(""/VOUT"")",,,,
2,Lab08_ITI:Testbench:1,"dB20(VF(""/VOUT""))",,,,
2,Lab08_ITI:Testbench:1,"ymax(dB20(VF(""/VOUT"")))",11.42,,,
2,Lab08_ITI:Testbench:1,"ymax(mag(VF(""/VOUT"")))",3.726,,,
2,Lab08_ITI:Testbench:1,"bandwidth(VF(""/VOUT"") 3 ""low"")",1.704e6,,,

