Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: CIN=4p,,,,,,
1,Lab08_ITI:Testbench:1,Input,,,,
1,Lab08_ITI:Testbench:1,Output,,,,
1,Lab08_ITI:Testbench:1,VID,,,,
1,Lab08_ITI:Testbench:1,PeakToPeak VID,3.655e-3,,,
1,Lab08_ITI:Testbench:1,PeakToPeak VOUT,192.8e-3,,,
Parameters: CIN=12p,,,,,,
2,Lab08_ITI:Testbench:1,Input,,,,
2,Lab08_ITI:Testbench:1,Output,,,,
2,Lab08_ITI:Testbench:1,VID,,,,
2,Lab08_ITI:Testbench:1,PeakToPeak VID,6.946e-3,,,
2,Lab08_ITI:Testbench:1,PeakToPeak VOUT,372e-3,,,

